I, [2016-06-07T20:16:04.018309 #20951]  INFO -- Kitchen: -----> Starting Kitchen (v1.8.0)
E, [2016-06-07T20:16:04.018588 #20951] ERROR -- Kitchen: ------Exception-------
E, [2016-06-07T20:16:04.018624 #20951] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2016-06-07T20:16:04.018643 #20951] ERROR -- Kitchen: Message: Kitchen YAML file /home/sid/chef-repo/.kitchen.yml does not exist.
E, [2016-06-07T20:16:04.018660 #20951] ERROR -- Kitchen: ------Backtrace-------
E, [2016-06-07T20:16:04.018676 #20951] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.8.0/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2016-06-07T20:16:04.018693 #20951] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.8.0/lib/kitchen/config.rb:149:in `data'
E, [2016-06-07T20:16:04.018709 #20951] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.8.0/lib/kitchen/config.rb:128:in `suites'
E, [2016-06-07T20:16:04.018739 #20951] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.8.0/lib/kitchen/config.rb:179:in `filter_instances'
E, [2016-06-07T20:16:04.018756 #20951] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.8.0/lib/kitchen/config.rb:138:in `build_instances'
E, [2016-06-07T20:16:04.018772 #20951] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.8.0/lib/kitchen/config.rb:114:in `instances'
E, [2016-06-07T20:16:04.018788 #20951] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.8.0/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2016-06-07T20:16:04.018804 #20951] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.8.0/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2016-06-07T20:16:04.018820 #20951] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.8.0/lib/kitchen/command/action.rb:38:in `block in call'
E, [2016-06-07T20:16:04.018836 #20951] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2016-06-07T20:16:04.018853 #20951] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.8.0/lib/kitchen/command/action.rb:37:in `call'
E, [2016-06-07T20:16:04.018869 #20951] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.8.0/lib/kitchen/cli.rb:56:in `perform'
E, [2016-06-07T20:16:04.018885 #20951] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.8.0/lib/kitchen/cli.rb:180:in `block (2 levels) in <class:CLI>'
E, [2016-06-07T20:16:04.018901 #20951] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2016-06-07T20:16:04.018917 #20951] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2016-06-07T20:16:04.018933 #20951] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.8.0/lib/kitchen/cli.rb:321:in `invoke_task'
E, [2016-06-07T20:16:04.018949 #20951] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2016-06-07T20:16:04.018965 #20951] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2016-06-07T20:16:04.018982 #20951] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.8.0/bin/kitchen:13:in `block in <top (required)>'
E, [2016-06-07T20:16:04.018998 #20951] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.8.0/lib/kitchen/errors.rb:154:in `with_friendly_errors'
E, [2016-06-07T20:16:04.019014 #20951] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.8.0/bin/kitchen:13:in `<top (required)>'
E, [2016-06-07T20:16:04.019044 #20951] ERROR -- Kitchen: /usr/bin/kitchen:17:in `load'
E, [2016-06-07T20:16:04.019060 #20951] ERROR -- Kitchen: /usr/bin/kitchen:17:in `<main>'
E, [2016-06-07T20:16:04.019076 #20951] ERROR -- Kitchen: ----------------------
